Year,Semester,Course_Number,English_Name,Section,Lecturer_Name,Lecturer_ID,Department,Day,Time,Room,Room_ID,Registered_Students,Room_Capacity,Online,Start_Time,End_Time,islab,Department_ID,Credit Hours
2022-2023,First Semester,13477,software engineering,2,Dr. Ammar Odeh,4,Computer Science,Wed,09:00-10:30,203,6,26,46,no,09:00,10:30,False,1113,3
2022-2023,First Semester,14140,introduction to data science,1,Dr. Ahmad Alzghoul,21,Data Science,Sun Tue Thu,11:00-12:00,206,18,15,46,no,11:00,12:00,False,14,3
2022-2023,First Semester,14141,introduction to data science lab,2,Dr. Ahmad Alzghoul,21,Data Science,Tue,12:00-15:00,it102,3,19,45,no,12:00,15:00,True,14,1
2022-2023,First Semester,14260,data engineering,1,Gaith Rjoub,32,Data Science,Sun Tue,10:00-11:00,207,5,25,52,blended,10:00,11:00,False,14,3
2022-2023,First Semester,14260,data engineering,2,Dr. Bushra Alhijawi,48,Data Science,Sun Tue,14:00-15:00,207,5,23,52,blended,14:00,15:00,False,14,3
2022-2023,First Semester,14260,data engineering,3,Dr. Tariq Bdair,49,Data Science,Mon,10:30-12:00,207,5,14,52,blended,10:30,12:00,False,14,3
2022-2023,First Semester,14261,data engineering lab,1,Dr. Bushra Alhijawi,48,Data Science,Sun,15:00-18:00,it101,19,16,30,blended,15:00,18:00,True,14,1
2022-2023,First Semester,14261,data engineering lab,2,Dr. Bushra Alhijawi,48,Data Science,Tue,15:00-18:00,it101,19,20,30,blended,15:00,18:00,True,14,1
2022-2023,First Semester,14261,data engineering lab,3,Gaith Rjoub,32,Data Science,Mon,15:00-18:00,it101,19,12,30,blended,15:00,18:00,True,14,1
2022-2023,First Semester,14261,data engineering lab,4,Gaith Rjoub,32,Data Science,Wed,15:00-18:00,it101,19,18,30,blended,15:00,18:00,True,14,1
2022-2023,First Semester,14270,statistics and probability for data science,1,Dr. Osama Abdel Hay,50,Data Science,Sun Tue Thu,11:00-12:00,it102,3,32,45,no,11:00,12:00,False,14,3
2022-2023,First Semester,14271,statistics and probability for data science lab,1,Dr. Osama Abdel Hay,50,Data Science,Sun,12:00-15:00,it106,16,9,44,no,12:00,15:00,True,14,1
2022-2023,First Semester,14271,statistics and probability for data science lab,2,Dr. Serin Atiani,30,Data Science,Mon,15:00-18:00,it106,16,19,44,no,15:00,18:00,True,14,1
2022-2023,First Semester,14330,artificial intelligence,1,Dr. Bushra Alhijawi,48,Data Science,Mon Wed,13:30-15:00,207,5,36,52,no,13:30,15:00,False,14,3
